"","properties.addl_addr","properties.architect","properties.const_date","properties.geo_addr","properties.name","properties.no_cbd","properties.nom_des","properties.num1_edit","properties.num2_edit","properties.num_orig","properties.objectid","properties.staff","properties.str_orig","properties.street","type","lat","lon","datetime"
"134","","Frederick Wilkinson","1837","116 City Park Avenue","Cypress Grove Cemetary Entrance Gate","New Orleans","Designated",116,120,"0116-20",125,"BDB","City Park Avenue","City Park Avenue","Feature",29.9815861761561,-90.1116646244299,1837-01-01T01:01
"135","","Unknown","1860","900 City Park Avenue","Saux-Sands Building","New Orleans","Designated",900,0,"0900",126,"BDB","City Park Avenue","City Park Avenue","Feature",29.9834238241377,-90.0980248882656,1860-01-01T01:01
"136","","","1913","1031 N Claiborne Avenue","Clabon Theater","New Orleans","Designated",1031,0,"1031",127,"BDB","Claiborne Avenue (North)","N Claiborne Avenue","Feature",29.9672387997599,-90.070996738016,1913-01-01T01:01
"137","","Weiss, Dreyfous & Seiferth","1935","5521 S Claiborne Avenue","Lone Star Cement Co. - Parlongue House","New Orleans","Designated",5521,0,"5521",128,"BDB","Claiborne Avenue (South)","S Claiborne Avenue","Feature",29.9428056743918,-90.1107936609657,1935-01-01T01:01
"138","3501 Gravier Street","","","733 S Clark Street","former iron foundry","New Orleans","Nominated",733,739,"0733-39",129,"BDB","Clark Street (South)","S Clark Street","Feature",29.9652666287626,-90.1004923157285,NA
"139","136 S. Robertson Street","Unknown","1861-62","1565 Cleveland Avenue","Lafcadio Hearn Residence","CBD","Designated",1565,0,"1565",130,"BDB","Cleveland Avenue","Cleveland Avenue","Feature",29.9575142746884,-90.077516878475,1861-01-01T01:01
"140","","Unknown","1870","4422 Coliseum Street","Martin-Howard House","New Orleans","Designated",4422,0,"4422",131,"BDB","Coliseum Street","Coliseum Street","Feature",29.9233524464556,-90.1025035761725,1870-01-01T01:01
"141","","Unknown","1887","1050 Constance Street","Maginnis Mill","CBD","Designated",1050,0,"1050",132,"BDB","Constance Street","Constance Street","Feature",29.9414142661874,-90.0692489908165,1887-01-01T01:01
"142","","","","4006 Constance Street","","New Orleans","Nominated",4006,4008,"4006-08",133,"BDB","Constance Street","Constance Street","Feature",29.9199669120815,-90.0969989424381,NA
"143","","Unknown","1871","4219 Constance Street","Blessed Pauline Center","New Orleans","Nominated",4219,0,"4219",134,"BDB","Constance Street","Constance Street","Feature",29.9200613469844,-90.0995246368807,1871-01-01T01:01
"144","","Unknown","1852","4868 Constance Street","Ewing-Johnson House","New Orleans","Designated",4868,0,"4868",135,"BDB","Constance Street","Constance Street","Feature",29.9190196017961,-90.1078230426468,1852-01-01T01:01
"145","","","1917","1733 Constantinople Street","Fine Arts Theater","New Orleans","Designated",1733,0,"1733",136,"BDB","Constantinople Street","Constantinople Street","Feature",29.9287525585886,-90.0973637482897,1917-01-01T01:01
"146","","Favrot & Livaudais","1906-29","602 Cortez Street","American Can Company","New Orleans","Designated",602,0,"0602",137,"BDB","Cortez Street","Cortez Street","Feature",29.9764829567128,-90.093866990143,1906-01-01T01:01
"147","1725 Dufossat Street","","","5120 Daneel Street","Auto Paint and Enamel Building","New Orleans","Nominated",5120,5132,"5120-32",138,"BDB","Daneel Street","Daneel Street","Feature",29.9298642743816,-90.1102553453867,NA
"148","","Lewis E. Reynolds","1866","3051 Dauphine Street","St. Vincent DePaul Church","New Orleans","Designated",3051,0,"3051",139,"BDB","Dauphine Street","Dauphine Street","Feature",29.9649311900351,-90.0459230034163,1866-01-01T01:01
"149","3445 Annunciation Street","","","802 Delachaise Street","Mystical's boyhood home","New Orleans","Nominated",802,0,"0802",140,"BDB","Delachaise Street","Delachaise Street","Feature",29.9198631021671,-90.0888374178744,NA
"150","","Unknown","1890-91","1401 Delachaise Street","Grace House/Sommerville House","New Orelans","Designated",1401,0,"1401",141,"BDB","Delachaise Street","Delachaise Street","Feature",29.9253903320897,-90.0912066745993,1890-01-01T01:01
"151","","Unknown","1850","405 Delaronde Street","Seger-Rees-Donner House","New Orleans","Designated",405,407,"0405-07",142,"BDB","Delaronde Street","Delaronde Street","Feature",29.953914347868,-90.0518306752098,1850-01-01T01:01
"152","","","1932","7425 Dominican Street","Leon C. Weiss Residence","New Orleans","Designated",7425,0,"7425",143,"BDB","Dominican Street","Dominican Street","Feature",29.9370735816377,-90.129902167657,1932-01-01T01:01
"153","","","","557 S Dorgenois Street","Falstaff Brewery","New Orleans","Nominated",557,0,"0557",144,"BDB","Dorgenois Street (South)","S Dorgenois Street","Feature",29.9602747862639,-90.0899048126764,NA
"154","","","","659 S Dorgenois Street","Falstaff Brewery","New Orleans","Nominated",659,0,"0659",145,"BDB","Dorgenois Street (South)","S Dorgenois Street","Feature",29.9593550571123,-90.090675729055,NA
"155","","Unknown","1895","2309 Dryades Street","First Street United Methodist Church","New Orleans","Designated",2309,2325,"2309-25",146,"BDB","Dryades Street","Dryades Street","Feature",29.935565212439,-90.0843238433753,1895-01-01T01:01
"156","","","","5027 Dryades Street","Robinson-Lewis House","New Orleans","Nominated",5027,0,"5027",147,"BDB","Dryades Street","Dryades Street","Feature",29.9294702818207,-90.1093139296511,NA
"157","5120-32 Daneel Street","","","1725 Dufossat Street","Auto Paint and Enamel Building","New Orleans","Nominated",1725,1735,"1725-35",148,"BDB","Dufossat Street","Dufossat Street","Feature",29.9298642743816,-90.1102553453867,NA
"158","","","","2013 Dumaine Street","","New Orleans","Nominated",2013,0,"2013",149,"BDB","Dumaine Street","Dumaine Street","Feature",29.9677208114775,-90.0749412687633,NA
"159","8301-11 Fig Street","Unknown","1911-12","8300 Earhart Blvd.","New Orleans Box Supply/Chickels Factory","New Orleans","Designated",8300,0,"8300",150,"BDB","Earhart Blvd.","Earhart Blvd.","Feature",29.9623867737014,-90.1177664951644,1911-01-01T01:01
"160","","Unknown","1905-07","400 Egania Street","Milton P. Doullut House","New Orleans","Designated",400,0,"0400",151,"BDB","Egania Street","Egania Street","Feature",29.9559289249788,-90.0217979596798,1905-01-01T01:01
"161","","Unknown","1912-13","503 Egania Street","Paul Doullut House","New Orleans","Designated",503,0,"0503",152,"BDB","Egania Street","Egania Street","Feature",29.9562833711033,-90.0213909367203,1912-01-01T01:01
"162","","Attributed to James Gallier, Sr.","1845-46","1620 Eighth Street","Judge Joseph Calvitt Clarke House","New Orleans","Designated",1620,0,"1620",153,"BDB","Eighth Street","Eighth Street","Feature",29.9297615673481,-90.0894629593091,1845-01-01T01:01
"163","","","","1500 Elysian Fields Avenue","","New Orleans","Nominated",1500,1502,"1500-02",154,"BDB","Elysian Fields Avenue","Elysian Fields Avenue","Feature",29.9726780247509,-90.0574687402557,NA
"164","","","","1109 Erato Street","","New Orleans","Nominated",1109,1111,"1109-11",155,"BDB","Erato Street","Erato Street","Feature",29.9394632058658,-90.0712777769973,NA
"165","","","1870","1119 Erato Street","St. Theresa's School","New Orleans","Nominated",1119,0,"1119",156,"BDB","Erato Street","Erato Street","Feature",29.9395209730058,-90.0714853071263,1870-01-01T01:01
"166","","Gallier & Esterbrokke","1866","115 Exchange Place","Bank of America-Allison Building","CBD","Designated",115,0,"0115",157,"BDB","Exchange Place","Exchange Place","Feature",29.9533275290045,-90.0684013505239,1866-01-01T01:01
"167","","","","1921 Felicity Street","","New Orleans","Designated",1921,0,"1921",158,"BDB","Felicity Street","Felicity Street","Feature",29.939550307393,-90.0811311617325,NA
"168","","Unknown","1856 & 1861","819 First Street","Irish Channel Christian Fellowship","New Orleans","Designated",819,821,"0819-21",159,"BDB","First Street","First Street","Feature",29.9259985132472,-90.0775846056819,1856-01-01T01:01
"169","","","","2037 First Street","","New Orleans","Designated",2037,0,"2037",160,"BDB","First Street","First Street","Feature",29.9368622706065,-90.08560801059,NA
"170","","Unknown","1871","2309 First Street","Buddy Bolden House","New Orleans","Designated",2309,2311,"2309-11",161,"BDB","First Street","First Street","Feature",29.9388007285105,-90.0870641420565,1871-01-01T01:01
"171","","George Purves, Robertson & Shaw, builders","1849-50","1020 Fourth Street","Bogart-Lee House","New Orleans","Designated",1020,0,"1020",162,"BDB","Fourth Street","Fourth Street","Feature",29.9261770325024,-90.0815029339638,1849-01-01T01:01
"172","","","","6401 Freret Street","Old Tulane Gymnasium","New Orleans","Nominated",6401,0,"",163,"BDB","Freret & McAlister","Freret Street","Feature",29.9389089103675,-90.1208222184637,NA
"173","","Edward Sporl","1919","7929 Freret Street","Salvadore DAntoni House","New Orleans","Designated",7929,0,"7929",164,"BDB","Freret Street","Freret Street","Feature",29.945083667156,-90.1300081580013,1919-01-01T01:01
"174","3523 N. Rampart Street","Unknown","1851","1011 Gallier Street","Academy of the Holy Angels Asylum (1858)","New Orleans","Designated",1011,1013,"1011-13",165,"BDB","Gallier Street","Gallier Street","Feature",29.9662674713729,-90.0395744362403,1851-01-01T01:01
"175","","Diboll and Owen","1925","803 General Pershing Street","St. Henry's Catholic Church","New Orleans","Nominated",803,0,"803",166,"BDB","General Pershing Street","General Pershing Street","Feature",29.9200761367053,-90.09996622947,1925-01-01T01:01
"176","","Unknown","","812 General Pershing Street","St. Henry's Rectory","New Orleans","Nominated",812,0,"812",167,"BDB","General Pershing Street","General Pershing Street","Feature",29.9202052215467,-90.1003456477104,NA
"177","","Diboll, Owen and Goldstein","1908","821 General Pershing Street","St. Henry's School","New Orleans","Nominated",821,0,"821",168,"BDB","General Pershing Street","General Pershing Street","Feature",29.9203776995745,-90.1000508338738,1908-01-01T01:01
"178","","James Gallier","1866","1751 Gentilly Boulevard","Fair Grounds Gate Houses","New Orelans","Designated",1751,0,"1751",169,"BDB","Gentilly Boulevard","Gentilly Boulevard","Feature",29.9835990744665,-90.0770514173832,1866-01-01T01:01
"179","","J.N.B. De Pouilly","1841-42","1210 Govenor Nicholls Street","St. Augustine Roman Catholic Church","New Orleans","Designated",1210,0,"1210",170,"BDB","Govenor Nicholls Street","Govenor Nicholls Street","Feature",29.9654533825269,-90.0662563773913,1841-01-01T01:01
"180","","Unknown","1870","1500 Henry Clay Avenue","Ferguson-Hellmers House","New Orleans","Designated",1500,0,"1500",179,"BDB","Henry Clay Avenue","Henry Clay Avenue","Feature",29.9303464531958,-90.1213591174518,1870-01-01T01:01
"181","","Shepley, Rutan & Coolidge","1888","615 Howard Avenue","Howard Memorial Library","CBD","Designated",615,0,"615",180,"BDB","Howard Avenue","Howard Avenue","Feature",29.9432833737308,-90.0715739170673,1888-01-01T01:01
"182","","Unknown","c.1850's","5520 Hurst Street","William Freret House","New Orleans","Designated",5520,0,"5520",181,"BDB","Hurst Street","Hurst Street","Feature",29.9278046036676,-90.1148200932131,1850-01-01T01:01
"183","","Louis Gauther","1917","2001 Iberville Street","Grace United Methodist Church","New Orleans","Designated",2001,0,"2001",182,"BDB","Iberville Street","Iberville Street","Feature",29.9621286488254,-90.0796466411244,1917-01-01T01:01
"184","","Unknown","1826","631 Independence Street","Blanque-Paturzo-Sessums House","New Orleans","Designated",631,0,"0631",183,"BDB","Independence Street","Independence Street","Feature",29.961764562287,-90.0392627785726,1826-01-01T01:01
"185","","Henry Howard &Albert Diettel","1859-60","1122 Jackson Avenue","Goldsmith-Sheen House","New Orleans","Designated",1122,0,"1122",184,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9299354747158,-90.0772758566704,1859-01-01T01:01
"186","","Henry Howard","1874","1236 Jackson Avenue","Sweet Morris House","New Orleans","Designated",1236,0,"1236",185,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9309361844204,-90.07828678508,1874-01-01T01:01
"187","","Unknown","1869","1305 Jackson Avenue","Tardy House-Trinity Church","New Orleans","Designated",1305,0,"1305",186,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9314633002529,-90.07810389073,1869-01-01T01:01
"188","","George Purves","1853","1329 Jackson Avenue","Trinity Episcopal Church","New Orelans","Designated",1329,1333,"1329-33",187,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9319002834986,-90.0784370512518,1853-01-01T01:01
"189","","Lewis E. Reynolds","1856","1410 Jackson Avenue","Eustis-Buckner House/Soule College","New Orleans","Designated",1410,0,"1410",188,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.931956762595,-90.0790925450528,1856-01-01T01:01
"190","","Lewis E. Reynolds","1850","1411 Jackson Avenue","William Martin Perkins House/Canon Turner Hall","New Orleans","Designated",1411,0,"1411",189,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9322884769636,-90.078641446224,1850-01-01T01:01
"191","","William Fitzner","1883","1435 Jackson Avenue","Thorn-Morgan House","New Orleans","Designated",1435,0,"1435",190,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9326375180541,-90.0790774796426,1883-01-01T01:01
"192","","Gallier & Esterbrook","1860","1529 Jackson Avenue","Warren-Alison House","New Orleans","Designated",1529,1531,"1529-31",191,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9335978771192,-90.0799527340307,1860-01-01T01:01
"193","","Unknown","1866","1740 Jackson Avenue","Shumway-Smallwood House","New Orleans","Designated",1740,0,"1740",192,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9356808910146,-90.0821458519764,1866-01-01T01:01
"194","","","","2115 Jackson Avenue","Sam Morgan House","New Orleans","Designated",2115,0,"2115",193,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9395670224878,-90.0851154199668,NA
"195","","Unknown","1875-78","2133 Jackson Avenue","Edward ""Kid Ory"" House","New Orleans","Designated",2133,2135,"2133-35",194,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9398429120531,-90.0853611655299,1875-01-01T01:01
"196","","","","3910 Jena Street","","New Orleans","Nominated",3910,0,"3910",195,"KAF","Jena Street","Jena Street","Feature",29.9482589457356,-90.1057604404024,NA
"197","","Unknown","1908","420 Josephine Street","Glidden Company American Paint Works","New Orleans","Designated",420,430,"0420-30",196,"KAF","Josephine Street","Josephine Street","Feature",29.9244282977501,-90.0708993438745,1908-01-01T01:01
"198","","","","1734 Josephine Street","","New Orleans","Designated",1734,0,"1734",197,"KAF","Josephine Street","Josephine Street","Feature",29.9363229904256,-90.0811537377412,NA
"199","","Unknown","1885","201 Julia Street","People's Ice Warehouse/Marine Specialty Supply Co.","CBD","Designated",201,0,"0201",198,"KAF","Julia Street","Julia Street","Feature",29.9445184528723,-90.0649258094992,1885-01-01T01:01
"200","","Unknown","1861","428 Julia Street","Great Western-Marshall Brothers Warehouse","CBD","Designated",428,0,"0428",199,"KAF","Julia Street","Julia Street","Feature",29.9450254655766,-90.0682406977633,1861-01-01T01:01
"201","1433 N Rampart Street","Unknown","1840","1130 Kerlerec Street","Etoile Polaire Lodge #1","New Orleans","Designated",1130,0,"1130",200,"KAF","Kerlerec Street","Kerlerec Street","Feature",29.9670071076247,-90.0635172044195,1840-01-01T01:01
"202","","","","1421 O.C. Haley Boulevard","St. Andrew Grand Lodge, A.F &A.M","New Orleans","Nominated",1421,0,"1421",201,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9415205489346,-90.0791687929005,NA
"203","","","","1515 O.C. Haley Boulevard","Isis Theater","New Orleans","Designated",1515,0,"1515",202,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.940803954702,-90.0796528674546,NA
"204","","","","1529 O.C. Haley Boulevard","Canal Commercial Trust","New Orleans","Designated",1529,0,"1529",203,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9406001962636,-90.0798065304098,NA
"205","","","","1600 O.C. Haley Boulevard","","New Orelans","Designated",1600,1604,"1600-04",204,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9403070142705,-90.0796318445224,NA
"206","","","","1614 O.C. Haley Boulevard","","New Orleans","Designated",1614,0,"1614",205,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9400339219925,-90.0798260612673,NA
"207","","","","1618 O.C. Haley Boulevard","","New Orleans","Designated",1618,1620,"1618-20",206,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9399504725838,-90.0798836087114,NA
"208","","","","1626 O.C. Haley Boulevard","","New Orleans","Designated",1626,1628,"1626-28",207,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9398769243953,-90.0799361570559,NA
"209","","","","1630 O.C. Haley Boulevard","","New Orleans","Designated",1630,1632,"1630-32",208,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9397631694978,-90.0800158773444,NA
"210","","","","1631 O.C. Haley Boulevard","","New Orleans","Designated",1631,1633,"1631-33",209,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9399103985165,-90.0803366245765,NA
"211","1819-33 Polymnia; 1727 Baronne Street","","","1712 O.C. Haley Boulevard","Venus Gardens","New Orleans","Designated",1712,1724,"1712-24",210,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9393474942141,-90.0803435184376,NA
"212","","","","2016 O.C. Haley Boulevard","Franz Building","New Orleans","Designated",2016,2030,"2016-30",211,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9377665409469,-90.0816828371932,NA
"213","","","","2100 O.C. Haley Boulevard","","New Orleans","Designated",2100,0,"2100",212,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9374698575056,-90.0821535185872,NA
"214","","Thomas Sully","1887","1539 Octavia Street","Onoratto House","New Orleans","Designated",1539,1541,"1539-41",213,"KAF","Octavia Street","Octavia Street","Feature",29.9280765161721,-90.1139075067505,1887-01-01T01:01
"215","533 Baronne Street","Stone Brothers","1906","530 O'Keefe Street","Civic Theater","CBD","Designated",530,0,"0530",214,"KAF","O'Keefe Street","O'Keefe Street","Feature",29.9495887186925,-90.0743506694085,1906-01-01T01:01
"216","","","","340 S Olympia Street","","New Orleans","Nominated",340,0,"0340",215,"KAF","Olympia Street (South)","S Olympia Street","Feature",29.9756066087153,-90.1079896709783,NA
"217","1531-39 Religious Street","","","601 Orange Street","Thomain-Baird Residence","New Orleans","Designated",601,0,"0601",216,"KAF","Orange Street","Orange Street","Feature",29.9322656539352,-90.0670711303913,NA
"218","","Unknown","1845","623 Orange Street","Richardson House","New Orleans","Designated",623,0,"0623",217,"KAF","Orange Street","Orange Street","Feature",29.9323347553418,-90.0674213907483,1845-01-01T01:01
"219","","Unknown","1860-61","1821 Orleans Avenue","Knights of Peter Claver Hall","New Orleans","Designated",1821,0,"1821",218,"KAF","Orleans Avenue","Orleans Avenue","Feature",29.9656928758652,-90.0745399216735,1860-01-01T01:01
"220","","Jack Corgan","1950","2101 Orleans Avenue","Carver Theater","New Orleans","Designated",2101,0,"2101",219,"KAF","Orleans Avenue","Orleans Avenue","Feature",29.9671027556664,-90.0766607699122,1950-01-01T01:01
"221","","H. Jordan Mackenzie","1910","4437 Painters Street","Bayhi-Jones House","New Orleans","Designated",4437,0,"4437",220,"KAF","Painters Street","Painters Street","Feature",30.0038923315227,-90.0519747043929,1910-01-01T01:01
"222","2 Palm Terrace","Eilliam E. Spink","1925","4111 St Charles Avenue","Palm Terrace","New Orleans","Designated",4111,0,"0002, 4-12",221,"KAF","Palm Terrace","St Charles Avenue","Feature",29.9269466643878,-90.0990748480393,1925-01-01T01:01
"223","","Eilliam E. Spink","1925","4 Palm Terrace","Palm Terrace","New Orleans","Designated",4,0,"0002, 4-12",222,"KAF","Palm Terrace","Palm Terrace","Feature",29.9271137113067,-90.0990966996353,1925-01-01T01:01
"224","","Eilliam E. Spink","1925","6 Palm Terrace","Palm Terrace","New Orleans","Designated",6,0,"0002, 4-12",223,"KAF","Palm Terrace","Palm Terrace","Feature",29.9272480258353,-90.0991087631154,1925-01-01T01:01
"225","","Eilliam E. Spink","1925","8 Palm Terrace","Palm Terrace","New Orleans","Designated",8,0,"0002, 4-12",224,"KAF","Palm Terrace","Palm Terrace","Feature",29.9273844699256,-90.0991209008768,1925-01-01T01:01
"226","","Eilliam E. Spink","1925","10 Palm Terrace","Palm Terrace","New Orleans","Designated",10,0,"0002, 4-12",225,"KAF","Palm Terrace","Palm Terrace","Feature",29.9275161680138,-90.0991325486792,1925-01-01T01:01
"227","","Eilliam E. Spink","1925","12 Palm Terrace","Palm Terrace","New Orleans","Designated",12,0,"0002, 4-12",226,"KAF","Palm Terrace","Palm Terrace","Feature",29.9276581457529,-90.0990816419367,1925-01-01T01:01
"228","","Emile Weil","1908-09","1640 Palmer Avenue","Newberger-Levine House","New Orleans","Designated",1640,0,"1640",227,"KAF","Palmer Avenue","Palmer Avenue","Feature",29.9332209669574,-90.1195699402118,1908-01-01T01:01
"229","","Unknown","1873","2108 Palmer Avenue","Hart Shraberg House","New Orleans","Designated",2108,0,"2108",228,"KAF","Palmer Avenue","Palmer Avenue","Feature",29.9372722289924,-90.1176086579311,1873-01-01T01:01
"230","","Unknown","1897","2115 Palmer Avenue","Fonaris-Rinker House","New Orleans","Designated",2115,0,"2115",229,"KAF","Palmer Avenue","Palmer Avenue","Feature",29.9371721805005,-90.1169995822678,1897-01-01T01:01
"231","","Unknown","1895","501 Patterson Street","Commercial Germania Trust & Savings Bank","New Orleans","Designated",501,0,"0501",230,"KAF","Patterson Street","Patterson Street","Feature",29.9549315147688,-90.0512616763954,1895-01-01T01:01
"232","","Unknown","1895","228 Pelican Avenue","Martin Behrman House","New Orleans","Designated",228,0,"0228",231,"KAF","Pelican Avenue","Pelican Avenue","Feature",29.9517367507038,-90.0536805272753,1895-01-01T01:01
"233","","Unknown","1848","705 Pelican Avenue","Valette-Barrett House","New Orleans","Designated",705,0,"0705",232,"KAF","Pelican Avenue","Pelican Avenue","Feature",29.9530529531799,-90.048765727897,1848-01-01T01:01
"234","401-15 Carondelet Street","Lewis Reynolds","1858","802 Perdido Street","Factor's Row","CBD","Designated",802,822,"0802-22",233,"KAF","Perdido Street","Perdido Street","Feature",29.9507261114739,-90.0717822544557,1858-01-01T01:01
"235","","Henry Thiberge","1869","828 Perdido Street","Santini-Providence Building","CBD","Designated",828,830,"0828-30",234,"KAF","Perdido Street","Perdido Street","Feature",29.9508541627565,-90.0723449575047,1869-01-01T01:01
"236","","","","4823 Perrier Street","","New Orleans","Nominated",4823,0,"4823",235,"KAF","Perrier Street","Perrier Street","Feature",29.9240935401064,-90.1070409116347,NA
"237","220 Julia Street, 801-839 Fulton Street","Henry Howard","1850","800 S Peters Street","Hale-Montgomery-Church Warehouse","CBD","Designated",800,844,"0800-44",236,"KAF","Peters Street (South)","S Peters Street","Feature",29.9444354434478,-90.0656800561163,1850-01-01T01:01
"238","337 Market Street","","","1600 S Peters Street","Market Street Power Plant","New Orelans","Designated",1600,0,"1600",237,"KAF","Peters Street (South)","S Peters Street","Feature",29.9303883951329,-90.0646802886336,NA
"239","401 Celeste Street","","","1743 S Peters Street","","New Orleans","Designated",1743,0,"1743",238,"KAF","Peters Street (South)","S Peters Street","Feature",29.9277810064127,-90.0657381583455,NA
"240","","William Burk","1915","1924 Phillip Street","NOPL Dryades Street Branch","New Orelans","Designated",1924,0,"1924",239,"KAF","Phillip Street","Phillip Street","Feature",29.9360717802875,-90.0844226756668,1915-01-01T01:01
"241","1731 Baronne Street","","","1801 Polymnia Street","Polymnia Street Sub Station","New Orleans","Designated",1801,0,"1801",240,"KAF","Polymnia Street","Polymnia Street","Feature",29.9385050578972,-90.0795960167232,NA
"242","1712-24 O.C. Haley Blvd; 1725 Baronne Street","","","1819 Polymnia Street","Venus Gardens","New Orleans","Designated",1819,1833,"1819-33",241,"KAF","Polymnia Street","Polymnia Street","Feature",29.938677409839,-90.0799185344507,NA
"243","","P. Thornton Marye & Sam Stone","1917","820 Poydras Street","South Central Bell (Drury Inn )","CBD","Designated",820,0,"0820",242,"KAF","Poydras Street","Poydras Street","Feature",29.9497572183346,-90.0723294687925,1917-01-01T01:01
"244","","Sam Stone of Stone Brothers New Orleans","1894","1009 Poydras Street","Maylie's Restaurant","CBD","Designated",1009,0,"1009",243,"KAF","Poydras Street","Poydras Street","Feature",29.9506546765664,-90.0744528808203,1894-01-01T01:01
"245","","James Calrow","1858","2127 Prytania Street","Harris-Maginnis House","New Orleans","Designated",2127,0,"2127",244,"KAF","Prytania Street","Prytania Street","Feature",29.9332986064432,-90.0793150057126,1858-01-01T01:01
"246","","","","4926 Prytania Street","McKenzies Pastry Shoppe #2","New Orleans","Nominated",4926,0,"4926",245,"KAF","Prytania Street","Prytania Street","Feature",29.924366842904,-90.1085015062922,NA
"247","","Unknown","1840-53","510 Race Street","Millaudon-Cichino House","New Orleans","Designated",510,0,"0510",246,"KAF","Race Street","Race Street","Feature",29.9329610408866,-90.0663822481367,1840-01-01T01:01
"248","","Gurlie & Guillot","1827","401 N Rampart Street","Our Lady of Guadaloupe Church","New Orleans","Designated",401,411,"0401-11",247,"KAF","Rampart Street (North)","N Rampart Street","Feature",29.9583995954407,-90.0706042025971,1827-01-01T01:01
"249","","Unknown","1858","3523 N Rampart Street","Academy of the Holy Angels Asylum (1858)","New Orleans","Designated",3523,0,"3523",248,"KAF","Rampart Street (North)","N Rampart Street","Feature",29.9658411289191,-90.0394050478376,1858-01-01T01:01
"250","1130 Kerlerek","Unknown","1840","1433 N Rampart Street","Etoile Polaire Lodge #1","New Orleans","Designated",1433,0,"1433",249,"KAF","Rampart Street (North)","N Rampart Street","Feature",29.9667983023089,-90.0633894055551,1840-01-01T01:01
"251","","","","401 S Rampart Street","Eagle Saloon","CBD","Designated",401,403,"0401-03",250,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9517058878434,-90.074747313914,NA
"252","","","","413 S Rampart Street","Iroquois Theater","CBD","Designated",413,415,"0413-15",251,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9514786168253,-90.0748181488972,NA
"253","","","","427 S Rampart Street","Karnofsky Tailor Shop","CBD","Designated",427,431,"0427-31",252,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9512051606681,-90.0748945802296,NA
"254","","","","445 S Rampart Street","Little Gem Saloon","CBD","Designated",445,449,"0445-49",253,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9508655100308,-90.0750100051748,NA
"255","","","","518 S Rampart Street","Canal Commercial Bank","CBD","Designated",518,0,"0518",254,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9499433767284,-90.0750027766395,NA
"256","","","","1716 S Rampart Street","","New Orleans","Designated",1716,1722,"1716-22",255,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9398208216091,-90.0812524960917,NA
"257","","","","1700 S Rampart Street","","New Orleans","Designated",1700,1702,"1700-02",256,"KAF","Rampart Street (South)","S Rampart Street","Feature",29.9401207593671,-90.0810830462301,NA
"258","","","","1510 Religious Street","","New Orleans","Designated",1510,1512,"1510-12",257,"KAF","Religious Street","Religious Street","Feature",29.9327532404936,-90.0665238131338,NA
"259","","","","1525 Religious Street","","New Orleans","Designated",1525,0,"1525",258,"KAF","Religious Street","Religious Street","Feature",29.9325685753132,-90.0668852043744,NA
"260","601 Orange Street","Unknown","1810-13","1531 Religious Street","Thomain-Baird Residence","New Orleans","Designated",1531,1539,"1531-39",259,"KAF","Religious Street","Religious Street","Feature",29.9323328024599,-90.066920527711,1810-01-01T01:01
"261","","Unknown","1849","218 N Roman Street","St. James A.M.E. Church","New Orleans","Designated",218,0,"0218",260,"KAF","Roman Street (North)","N Roman Street","Feature",29.9615403665692,-90.0783717465702,1849-01-01T01:01
"262","","William Freret","1860","1703 Second Street","Freret-Carruth House","New Orleans","Designated",1703,0,"1703",261,"KAF","Second Street","Second Street","Feature",29.9333734980713,-90.0841709918322,1860-01-01T01:01
"263","","William Freret","1860","1707 Second Street","Freret Willeford House","New Orleans","Designated",1707,0,"1707",262,"KAF","Second Street","Second Street","Feature",29.9334454284034,-90.0842230997652,1860-01-01T01:01
